Strain,Stress (MPa)
0.008803467,0.995876709
0.0088368,0.999275509
0.008870133,1.003257671
0.008903467,1.0066553
0.0089368,1.009801259
0.008970133,1.012035128
0.009003467,1.01489647
0.0090368,1.018795209
0.009070133,1.022826783
0.009103467,1.026864671
0.0091368,1.028465653
0.009170133,1.032472112
0.009203467,1.03526582
0.0092368,1.03805225
0.009270133,1.041634008
0.009303467,1.045129647
0.0093368,1.048267641
0.009370133,1.051723734
0.009403467,1.055170395
0.0094368,1.058133079
0.009470133,1.059966763
0.009503467,1.0638625
0.0095368,1.067266603
0.009570133,1.070003565
0.009603467,1.073379897
0.0096368,1.07639155
0.009670133,1.079965953
0.009703467,1.082651933
0.0097368,1.086443175
0.009770133,1.08967368
0.009803467,1.092197236
0.0098368,1.096748605
0.009870133,1.099373423
0.009903467,1.102329492
0.0099368,1.105503657
0.009970133,1.108522019
0.010003467,1.112441004
0.0100368,1.115022304
0.010070133,1.117327343
0.010103467,1.120980258
0.0101368,1.124131772
0.010170133,1.12700516
0.010203467,1.130604117
0.0102368,1.133791385
0.010270133,1.137511887
0.010303467,1.140102663
0.0103368,1.14285485
0.010370133,1.147093219
0.010403467,1.149647116
0.0104368,1.154477804
0.010470133,1.156286188
0.010503467,1.159335505
0.0105368,1.162122201
0.010570133,1.164822038
0.010603467,1.169079751
0.0106368,1.171946631
0.010670133,1.175498114
0.010703467,1.178777366
0.0107368,1.181761436
0.010770133,1.183923548
0.010803467,1.186868763
0.0108368,1.19070569
0.010870133,1.194343202
0.010903467,1.196438755
0.0109368,1.20079033
0.010970133,1.203262131
0.011003467,1.206691234
0.0110368,1.210037964
0.011070133,1.212918358
0.011103467,1.21619829
0.0111368,1.218680138
0.011170133,1.223373475
0.011203467,1.225776821
0.0112368,1.228231318
0.011270133,1.23120682
0.011303467,1.234053692
0.0113368,1.2381767
0.011370133,1.24055247
0.011403467,1.243328363
0.0114368,1.246495052
0.011470133,1.249409655
0.011503467,1.252851183
0.0115368,1.255919294
0.011570133,1.259010149
0.011603467,1.262802237
0.0116368,1.265646248
0.011670133,1.268364379
